A 马克思主义、列宁主义、毛泽东思想、邓小平理论
F291 城镇的形成与发展
F291.1 城市发展道路、城市化
F291.3 城乡经济联系
[F292] 城镇规划与建设
F293 城市经济管理
F293.1 城市经济结构
F293.2 城市土地开发与利用
F293.3 房地产经济
F293.30 房地产经济理论
F293.31 房地产制度
F293.33 房地产管理
F293.35 房地产市场
F294 基础设施、公用事业建设与管理
F294.1 公用事业
F294.2 动力设施
F294.3 交通运输与邮电设施
F294.9 其他市政设施
F299 世界各国城市市政经济概况
F299.1 世界
F299.11 发展中国家
F299.12 发达国家
F299.15 社会主义国家
F299.17 资本主义国家
F299.2 中国
F299.21 城镇形成与发展
[F299.22] 城镇规划与建设
F299.23 城市经济管理
F299.24 基础设施与公用事业
F299.27 地方城市经济
F299.29 城市经济史
F299.3/.7 各国
F3 农业经济
F30 农业经济理论
F301 土地经济学
F301.0 土地政策
F301.1 土地制度
F301.11 土地改革
F301.12 土地国有化
F301.2 土地管理、规划及利用
F301.21 耕地管理与保护
F301.22 土地行政管理
F301.23 土地规划
F301.24 土地开发与利用
F301.3 地产经营
F301.4 地租
F301.5 土地统计
F302 农业计划与管理
F302.1 农业计划工作
F302.2 农业管理体制
F302.3 农业系统工程
F302.4 农业经济信息
F302.5 农业数学、农业统计学
F302.6 农业财务管理、经济核算
F302.7 农业固定资产管理
F303 农业建设与发展
F303.1 农业基本建设与投资
F303.2 农业技术发展与技术革新
F303.3 农业现代化建设
F303.4 农业资源的开发与利用
F304 农业生产
F304.1 农业部门结构与综合开发
F304.2 农业商品生产与价格
F304.3 农产品经营与农产品市场
F304.4 农业资金、农业投资
F304.5 农业生产布局、农业区域规划
F304.6 农业劳动力利用与转移
F304.7 农业生产集约化、农业劳动生产率
F304.8 收入分配与农业劳动报酬
F306 农业企业经营与管理
F306.1 农场
F306.2 农机站
F306.3 农业试验场、农业技术推广站、科学园区
F306.4 农业合作组织
F306.5 农工商联合企业
F306.6 农业生产服务组织
F307 农业部门经济
F307.1 种植业
F307.11 粮食作物
F307.12 经济作物
F307.13 园艺作物
F307.2 林业
F307.3 畜牧业、饲养业
F307.4 渔业、水产业
F307.5 农家副业、农产品加工工业
F31 世界农业经济
F310 农业经济政策
F311 土地问题
F312 农业经济概况
F312.1 发展中国家
F312.2 发达国家
F312.5 社会主义国家
F312.7 资本主义国家
F313 农业建设与发展
F316 农业部门经济
F316.1 种植业
F316.11 粮食作物
F316.12 经济作物
F316.13 园艺作物
F316.2 林业
F316.20 经济政策
F316.21 经济概况
F316.23 林业建设与发展
F316.25 林业企业组织
F316.29 林业经济史
F316.299 林业经济地理
F316.3 畜牧业、饲养业
F316.4 渔业、水产业
F316.5 农家副业、农产品加工工业
[F318] 农民生活状况
F319 农业经济史
F319.9 农业经济地理
F32 中国农业经济
F320 方针政策及其阐述
F320.1 农业现代化道路、模式
F320.2 农村经济改革
F320.3 农村发展与建设方针
F321 农村经济结构与体制
F321.1 土地问题
F321.2 农业社会主义改造
F321.21 互助组
F321.22 初级农业生产合作社
F321.23 高级农业生产合作社
F321.3 农业所有制
F321.31 全民所有制
F321.32 集体所有制
F321.33 个体所有制
F321.4 农业合作形式
F321.41 生产责任制
F321.42 经济联合体
F321.5 农村雇工
F322 农业计划与管理
F323 农业经济建设与发展
F323.0 农业发展速度与部门间比例
F323.1 农业区域规划与生产布局
F323.2 农业资源开发与利用
F323.21 农业资源类型及评价
F323.22 农村生态环境保护
F323.24 国土整治
F323.3 农业技术改造、农业技术经济
F323.4 集约耕种、多种经营、综合开发
F323.5 农业商品生产、农业劳动生产率
F323.6 农业劳动力与农业人口
F323.7 农产品价格与市场
F323.8 农业收入与分配
F323.89 农村社会保障、福利事业
F323.9 农业资金、农业投资
F324 农业企业组织与管理
F324.1 农场
F324.2 农机站
F324.3 农业试验站、农业技术推广站、科技中心
F324.5 农工商联合体
F324.6 农业生产服务组织
F324.9 其他
F325 农村生产组织与经营管理
F325.1 生产组织
F325.11 生产大队、生产队
F325.12 联合组织、经济联社
F325.14 专业户
F325.15 个体农民
F325.2 生产管理、经营管理
F325.21 生产计划
F325.22 劳动组织
[F325.24] 财务管理、经济核算
[F325.25] 固定资产、耕畜利用及管理
F325.27 增产措施
[F325.3] 乡镇企业
F325.4 农村干部、乡镇干部
F325.7 各地农村生产组织情况调查
F326 农业部门经济
F326.1 种植业
F326.11 粮食作物
F326.12 经济作物
F326.13 园艺作物
F326.2 林业
F326.20 林业方针政策及其阐述
F326.22 经济结构与体制
F326.23 经济建设与发展
F326.24 生产与经济效益
F326.25 林业企业组织与经营管理
F326.27 地方林业经济
F326.29 林业经济史
F326.299 林业经济地理
F326.3 畜牧业、饲养业
F326.4 渔业、水产业
F326.5 农家副业、农产品加工工业
F326.6 农村生产服务业
F327 地方农业经济
F327.8 少数民族农业经济
F327.9 特区农业经济
[F328] 农民生活状况
F329 中国农业经济史
F329.0 各时代史
F329.1/.7 各地区史
F329.9 中国农业经济地理
F33/37 各国农业经济
F4 工业经济
F40 工业经济理论
F401 工业经济结构与体制
F401.1 资本主义工业所有制
F401.3 社会主义工业所有制
F402 工业计划与管理体制
F402.1 工业计划工作
F402.2 工业管理体制
F402.3 行业管理与组织
F402.4 工业统计
F403 工业建设与发展
F403.1 工业国有化
F403.2 工业部门结构、发展速度与比例关系
F403.3 工业生产布局与资源利用
F403.4 工业部门协作与配合、工业专门化
F403.5 工业基本建设投资
F403.6 工业技术发展与革新
F403.7 工业技术经济分析
F403.8 工业经济效益
F404 工业劳动与工资、劳动生产率
F404.1 劳动力供应与培训
F404.2 劳动与工资
F404.3 劳动生产率
F405 工业品供销与市场
F406 工业企业组织与管理
F406.1 工业组织领导与行政管理
F406.11 经营策略与领导方法
F406.12 民主管理
F406.13 工业心理学
F406.14 现代化管理
F406.15 人事管理、劳动管理
F406.17 行政管理
F406.2 生产管理、生产过程组织
F406.3 技术管理、定额管理
F406.4 固定资产管理
F406.5 原料、材料、燃料的管理
F406.6 车间、班、组管理
F406.7 财务管理与经济核算
F406.71 资金管理
F406.72 财务管理、成本管理
F406.73 经济活动分析
[F406.8] 劳动保护与安全管理
F406.9 其他
F407 工业部门经济
F407.1 地质、矿业
F407.2 能源工业、动力工业
F407.21 煤炭工业
F407.22 石油、天然气工业
F407.23 核能工业
F407.3 冶金工业
F407.4 金属加工、机械工业
F407.41 金属加工工业
F407.42 重型机械工业
F407.44 轻工机械工业
F407.45 化工机械工业
F407.47 交通运输机械工业
F407.471 汽车
F407.472 机车、车辆
F407.474 船舶
F407.48 武器工业
F407.5 航空、航天工业
F407.6 电气、电子工业
F407.61 电力、电机工业
F407.63 电子工业
F407.67 自动化技术、计算机工业
F407.7 化学工业
F407.8 轻工业、手工业
F407.81 纺织、印染
F407.82 食品
F407.83 造纸
F407.84 印刷
F407.85 皮革
F407.86 服装工业
F407.87 钟表工业
F407.88 林产、木材加工工业、家具工业
F407.89 其他轻工业
F407.899 手工业
F407.9 建筑、水利工程
F41 世界工业经济
F410 工业政策
F414 工业建设与发展
F415 国际工业经济关系
F415.1 国际分工、联合
F415.2 技术引进、技术转让
F416 工业部门经济
F416.1 地质、矿业
F416.2 能源工业、动力工业
F416.21 煤炭工业
F416.22 石油、天然气工业
F416.23 核能工业
F416.3 冶金工业
F416.31 钢铁工业
F416.32 有色金属冶金工业
F416.4 金属加工、机械工业
F416.41 金属加工工业
F416.42 重型机械工业
F416.44 轻工机械工业
F416.45 化工机械工业
F416.47 交通运输机械工业
F416.48 武器工业
F416.5 航空、航天工业
F416.6 电气、电子工业
F416.61 电力、电机工业
F416.63 电子工业
F416.67 自动化技术、计算机工业
F416.7 化学工业
F416.8 轻工业、手工业
F416.81 纺织、印染
F416.82 食品
F416.83 造纸
F416.84 印刷
F416.85 皮革
F416.86 服装工业
F416.87 钟表工业
F416.88 林产、木材加工工业、家具工业
F416.89 其他轻工业
F416.899 手工业
F416.9 建筑、水利工程
[F418] 工人生活状况
F419 工业经济史
F419.9 工业经济地理
F42 中国工业经济
F420 方针政策及其阐述
F421 工业经济结构与体制
F421.1 工业国有化
F421.2 工业社会主义改造
F421.3 工业所有制形式
F421.31 全民所有制
F421.32 集体所有制
F421.33 个体所有制
F421.34 联合体
F421.35 中外合资经营
F421.36 股份制
F421.37 租赁制
F421.39 其他
F423 工业计划与管理
F423.1 工业计划
F423.2 工业管理体制
F423.3 行业管理与组织
F424 工业建设与发展
F424.0 工业部门结构与比例关系
F424.1 工业区域规划与生产布局
F424.2 工业基本建设与投资
F424.3 工业技术发展与革新
F424.4 工业集约化与规模经济
F424.5 工业专业化与协作
F424.6 工业技术经济分析
F424.7 工业经济效益
F425 工业企业组织和经营管理
F426 工业部门经济
F427 地方工业经济
F427.8 少数民族工业
F427.9 特区工业
[F428] 工人生活状况
F429 中国工业经济史
F429.0 各时代史
F429.1/.7 各地区史
F429.9 中国工业经济地理
F43/47 各国工业经济
F49 信息产业经济（总论）
F5 交通运输经济
F50 交通运输经济理论
F502 运输业计划和管理体制
F503 运输业建设与发展
F505 运输价格、成本与利润
F506 运输企业组织与经营管理
F51 世界各国概况
F511 世界
F511.0 交通运输政策
F511.3 运输业建设与发展
F511.31 运输业基本建设与布局
F511.33 国际合作与协调运输
F511.4 国际联合运输
F511.41 货物运输
F511.43 旅客运输
F511.5 国际组织和会议
F511.6 条约、协定
F511.9 交通史
F511.99 交通经济地理
F512 中国
F512.0 方针政策及其阐述
F512.1 运输业计划与管理体制
F512.3 交通运输建设和发展
F512.4 联合运输
F512.41 国内
F512.43 国际
F512.5 运输价格、成本与利润
F512.6 运输企业组织与管理
F512.7 地方交通运输概况
F512.9 中国交通史
F512.99 中国交通地理
F513/517 各国
F53 铁路运输经济
F530 铁路运输经济理论
F530.1 铁路计划与管理体制
F530.3 铁路建设与发展
F530.31 铁路基本建设与投资
F530.32 铁路配置
F530.33 铁路技术改造与革新
F530.34 铁路统计学
[F530.35] 铁路选线经济
[F530.36] 铁路施工经济
F530.4 铁路工业经济
F530.5 铁路运输成本、运价、票价
F530.51 运输成本
F530.52 运价、票价
F530.55 运输经济效益
F530.6 铁路企业组织和管理
F530.61 管理机构与组织系统
F530.63 技术管理、定额管理
F530.64 劳动组织
F530.65 生产责任制
F530.66 劳动竞赛、增产节约
F530.67 固定资产管理
F530.68 财务管理
F530.69 劳动保护、安全生产
F530.7 各种铁路的经营与管理
F530.8 运输业务
[F530.81] 行车组织
[F530.82] 货运工作
[F530.83] 客运工作
F530.84 铁路联运
F530.85 铁路国际联运
F530.86 运营
F530.9 列车员
F531 世界铁路运输经济
F531.0 政策
F531.3 铁路运输建设与发展
F531.4 国际联合运输
F531.5 国际组织与会议
F531.6 条约、协定
F531.9 铁路运输史
F532 中国铁路运输经济
F532.0 方针政策及其阐述
F532.1 铁路计划与管理体制
F532.3 铁路建设与发展
F532.4 铁路联运
F532.42 国内
F532.43 国际
F532.5 铁路成本、运价、票价
F532.6 铁路运输企业与管理
F532.7 各线路概况
F532.8 地方铁路运输经济
F532.9 中国铁路史
F533/537 各国铁路运输经济
F54 陆路、公路运输经济
F540 陆路、公路运输经济理论
F540.3 公路建设与发展
F540.31 建设经济调查分析与预测
F540.32 建设规划与布局
F540.33 技术发展与革新
F540.34 建设筹资与投资
F540.35 公路统计学
F540.4 公路运输成本、运价、票价
F540.5 公路运输企业组织与管理
F540.51 国营运输企业
F540.52 集体和个体运输企业
F540.54 合营运输企业
F540.55 劳动组织与生产责任制
F540.57 固定资产管理
F540.58 财务管理
F540.7 其他陆路运输
F540.8 公路运输业务
[F540.81] 站务工作
[F540.82] 货运工作
[F540.83] 客运工作
F540.84 汽车联运
F540.85 列车化运输
F541 世界陆路、公路运输经济
F542 中国陆路、公路运输经济
F543/547 各国陆路、公路运输经济
F55 水路运输经济
F550 水路运输经济理论
F550.3 水路运输建设与发展
F550.5 水路运输成本、运价、票价
F550.6 水路运输组织与管理
F550.61 运输组织
F550.62 业务计划
F550.64 劳动组织
F550.66 财务管理、经济核算
F550.7 各种水路运输
F550.71 内河运输
F550.72 海洋运输
F550.73 近海运输
F550.74 远洋运输
F550.8 水路运输业务
[F550.81] 货运工作
[F550.82] 客运工作
F550.83 水路联运
F550.84 国际联运
F551 世界水路运输经济
F552 中国水路运输经济
F552.0 方针政策及其阐述
F552.1 管理体制
F552.3 建设与发展
F552.4 联合运输
F552.42 国内
F552.43 国际
F552.5 运输成本、运价和票价
F552.6 企业组织和经营管理
F552.61 国营运输企业
F552.62 集体和个体运输企业
F552.64 合营运输企业
F552.65 劳动组织
F552.7 地方水路运输经济
F552.9 中国水路交通史
F553/557 各国水路运输经济
F56 航空运输经济
F560 航空运输经济理论
F560.1 航运计划工作
F560.3 航线开辟与航运基本建设
F560.5 运价与客运票价、运输成本与利润
F560.6 航运企业组织与经营管理
F560.7 专业飞行
F560.8 运输业务
F560.81 机场管理、站务
F560.82 机上管理
F560.83 客运
F560.84 货运
F560.85 国际联运、空运国际合作
F560.9 服务员
F561 世界航空运输
F562 中国航空运输
F562.0 方针政策及其阐述
F562.1 航运管理体制
F562.3 航运建设与发展
F562.5 运输成本、运价、票价及经济核算
F562.6 航运企业组织与经营管理
F562.8 地方航空运输经济
F562.9 航空运输与民航事业史
F563/567 各国航空运输与民航事业
F57 城市交通运输经济
F570 城市交通运输经济理论
F570.3 城市交通运输建设
F570.5 运输成本、运价、票价与经济核算
F570.6 企业组织与管理
F570.7 各种车辆运输
F570.71 公共汽车、出租汽车
F570.72 电车
F570.73 地下铁路运输
F570.79 其他运输方式
F570.8 运输业务
F570.81 货运
F570.82 客运
F571 世界城市交通运输经济
F572 中国城市交通运输经济
F572.88 地方城市交通运输经济
F572.89 城市交通史
F573/577 各国城市交通运输经济
F59 旅游经济
F590 旅游经济理论与方法
F590.1 旅游规划与管理体制
F590.3 旅游事业建设与发展
F590.6 旅游企业组织与管理
F590.63 旅游服务业务
F590.65 旅游企业
F590.66 旅游财务管理
F590.7 各类型旅游
F590.8 旅游市场
F591 世界旅游事业
F591.9 旅游事业史
F591.99 旅游经济地理
F592 中国旅游事业
F592.0 方针政策及其阐述
F592.1 规划与管理体制
F592.3 旅游事业建设与发展
F592.6 旅游企业组织与管理
F592.7 地方旅游事业
F592.9 旅游事业史
F592.99 旅游经济地理
F593/597 各国旅游事业
F6 邮电经济
F60 邮电经济理论
F601 邮电业计划与管理体制
F603 邮电业建设与发展
F606 邮电企业组织与经营管理
F606.1 组织机构
F606.3 邮电业务
F606.6 财务管理、会计核算
F61 邮政
F611 邮政事业计划和管理
F614 邮政建设与发展
F615 邮政业务收入、成本与利润
F616 邮政企业组织与经营管理
F616.1 组织机构
F616.3 现代化管理
F616.5 固定资产管理
F616.6 财务管理和经济核算
F618 邮政业务
F618.1 邮件收受、处理、运送、投递
F618.3 邮政其他业务
F618.9 邮费和邮票
F619 邮务员、分拣员
F62 电信
F621 电信事业计划和管理体制
F623 电信建设与发展
F626 电信企业组织和经营管理
F626.1 电话企业
F626.11 企业组织和管理
F626.111 劳动组织、劳动效率
F626.112 技术设备管理、材料管理
F626.115 财务管理、经济核算
F626.116 事业收入、成本和利润
F626.12 电话业务
F626.13 话务员
F626.2 电报业
F626.21 企业组织和管理
F626.22 电报业务
F626.23 报务员
F626.3 无线电通信企业
F626.5 通信网络企业
F627 国际电信
F63 世界各国邮电事业
F631 世界
F631.0 政策
F631.6 国际邮电事业
F631.9 邮电事业史
F631.99 邮电地理
F632 中国
F632.0 方针政策及其阐述
F632.1 邮电计划和管理体制
F632.3 邮电事业建设和发展
F632.6 对外邮电业务关系
F632.7 地方邮电事业
F632.9 邮电事业史
F632.99 邮电地理
F633/637 各国
F7 贸易经济
F71 国内贸易经济
F710 贸易经济理论与方法
F711 贸易经济结构与体制
F711.1 资本主义所有制
F711.2 商业的社会主义改造
F711.3 社会主义所有制
F712 贸易计划与管理体制
F712.1 贸易计划
F712.2 贸易管理体制
F712.3 贸易统计
F712.9 贸易建设与发展
F713 商品流通与市场
F713.1 商品流通渠道
F713.2 商品收购
F713.3 商品销售
F713.31 批发贸易
F713.32 零售贸易
F713.33 城乡贸易、集市贸易
F713.34 民族贸易
F713.35 期货贸易
F713.359 拍卖
F713.36 电子贸易、网上贸易
F713.4 商品分配与调拨
F713.5 市场
F713.50 市场学
F713.51 商业信息
F713.52 市场调查
F713.53 商品供需关系
F713.54 市场预测
F713.55 商业心理学、市场心理学
F713.56 市场管理
F713.58 各种市场
F713.581 城市市场
F713.582 农村市场
F713.584 技术市场
F713.6 经纪人
F713.7 商品陈列布置
F713.8 广告
F713.80 广告理论与方法
F713.81 广告策划与制作
F713.82 广告管理
F713.83 商品展览
F714 商品价格与流通费用
F714.1 物价
F714.2 流通费用
F715 商业企业组织与管理
F715.1 商业企业计划与管理体制
F715.2 商业组织领导与劳动管理
[F715.3] 业务管理
F715.4 商业谈判与经济合同管理
F715.5 财务管理、经济核算
F715.51 商业会计学
F715.53 商业成本管理
F715.54 商业经济效益
F715.6 仓库经营管理
F716 商业技术与设备
F717 各种商业企业
F717.1 国有商业企业
F717.2 供销合作社、集体商业
F717.3 私营商业
F717.4 商业垄断组织
F717.49 股份制商业企业
F717.5 专业贸易企业
F717.6 超级市场、连锁店、专卖店
F718 商业工作者
F719 服务业
F719.2 旅馆业
F719.3 餐饮业
F719.5 娱乐业
F719.9 其他
F72 中国国内贸易经济
F720 方针政策及其阐述
F721 商业经济体制和组织
F721.1 国有商业企业
F721.2 供销合作社、集体商业
F721.3 公私合营商业
F721.4 私营商业
F721.5 股份制商业企业
F721.6 承包、租赁
F721.7 超级市场、连锁店、专卖店
F721.8 专业贸易企业
F722 商业计划与管理
F722.1 商业计划、规划
F722.2 商业管理
F722.3 计划收购与供应
{F722.4} 贸易中心与批发市场
F722.9 贸易事业的建设与发展
F723 市场
{F723.1} 城市市场
{F723.2} 农村市场
F724 商品流通
F724.1 批发贸易
F724.2 零售贸易
F724.3 城乡贸易、集市贸易
F724.4 少数民族地区贸易
F724.5 期货贸易
F724.59 拍卖
F724.6 电子贸易、网上贸易
F724.7 各种商品贸易
F726 物价
F726.1 价格体系
F726.2 物价政策与物价管理
F726.7 物价调查
F727 地区贸易经济
F729 贸易史
F729.9 商业地理
F73 世界各国国内贸易经济
F731 世界
[F732] 中国
F733/737 各国
F74 国际贸易
F740 国际贸易理论与方法
F740.2 世界市场
F740.22 国际市场调查与预测
F740.3 国际价格理论
F740.4 国际贸易实务
F740.41 贸易谈判
F740.43 进出口商品检验
F740.44 国际贸易程序
F740.45 国际贸易财务管理
F740.6 国际贸易统计方法
F741 政策
F741.1 对外贸易管制
F741.2 自由贸易与保护贸易
F742 国际贸易关系
F743 国际贸易组织与会议
[F743.1] 联合国国际贸易组织
F743.2 国际贸易团体、贸易商
F743.3 国际贸易会议
F744 国际贸易条约和协定
F745 海关及关税
F745.0 关税政策
F745.2 海关制度
F745.3 关税制度
F745.5 关税协定与关税同盟
F745.9 海关史、关税史
F746 世界进出口贸易概况
F746.11 进口贸易
F746.12 出口贸易
F746.13 转口贸易
F746.14 补偿贸易
F746.16 期货贸易
F746.17 技术进出口贸易
F746.18 特种贸易
F746.2/.9 各种商品贸易
F749 国际贸易史
F75 各国对外贸易
F752 中国对外贸易
F752.0 方针政策及其阐述
F752.01 对外贸易管制
F752.02 贸易保护
F752.1 对外贸易计划与管理
F752.3 对外贸易组织与会议
F752.4 对外贸易条约和协定
F752.5 海关及关税
F752.50 关税政策
F752.52 海关制度
F752.53 关税制度
F752.55 海关组织与管理
F752.56 征关税
F752.57 查缉走私、违禁品
F752.59 海关史、关税史
F752.6 进出口贸易概况
F752.61 进口贸易
F752.62 出口贸易
F752.63 转口贸易
F752.64 补偿贸易
F752.65 各种商品贸易
F752.66 期货贸易
F752.67 技术进出口贸易
F752.68 特种贸易
F752.69 外贸市场
F752.7 与各国贸易关系
F752.8 地方对外贸易
F752.9 对外贸易史
F753/757 各国对外贸易
F76 商品学
F760 一般性问题
F760.1 商品目录
F760.2 商品分类
F760.3 商品包装和运输
F760.4 商品保管和贮存
F760.5 商标
F760.6 商品检验
{F761} 初级产品（总论）
F762 农产品
F762.1 粮食
F762.2 经济作物
F762.3 园艺作物
F762.4 木材
F762.5 畜牧产品
F762.6 水产品
F762.7 土特产品
F763 医疗用品、医药品
F764 工业产品
F764.1 燃料工业产品
F764.2 冶金工业产品
F764.3 金属加工产品
F764.4 机器仪表工业产品
F764.5 电工器材
F764.6 无线电电子产品
F764.7 武器工业产品
F765 建筑器材
F766 交通运输器材
F767 化学工业产品
F767.1 化学肥料
F767.2 农药
F767.3 硅酸盐制品
F767.4 染料、颜料、涂料
F767.5 橡胶
F767.6 塑料、合成树脂
F767.7 摄影材料
F767.8 肥皂、洗涤剂
F767.9 日用化学用品
F768 轻工业产品
F768.1 纺织品
F768.2 食品
F768.29 烟草制品
F768.3 缝纫服装制品
F768.4 皮革制品、羽毛制品
F768.5 木、竹、石工制品
F768.6 文化用品
F768.7 工艺美术制品
F768.9 其他轻工业制品
F769 其他产品
F769.1 手工业产品
F769.2 出口加工产品（总论）
F769.9 初级产品（总论）
F8 财政、金融
F81 财政、国家财政
F810 财政理论
F810.2 国家财政制度与管理体制
F810.3 国家预算、决算
F810.4 财政收入和支出
F810.41 财政收入
F810.42 税收
F810.43 非税收收入
F810.45 财政支出
F810.5 公债、债券、国际借款
F810.6 国家机关会计（政府会计）、预算会计
F810.7 地方财政
F811 世界财政
F811.0 政策
F811.2 财政制度与管理体制
F811.3 预算和决算
F811.4 财政收入和支出
F811.5 内外债、对外借款
F811.6 国际财政关系
F811.9 财政史
F812 中国财政
F812.0 方针政策及其阐述
F812.2 财政制度与管理体制
F812.3 预算、决算
F812.4 财政收入、支出
F812.41 财政收入
F812.42 税收
F812.43 非税收收入
F812.45 财政支出
F812.5 国家公债、债券、外债
F812.6 对外财政援助
F812.7 地方财政
F812.8 农村财政
F812.9 财政史
F813/817 各国财政
F82 货币
F820 货币理论
F820.2 货币制度
F820.3 货币管理
F820.4 货币流通和信用
F820.5 通货膨胀
F821 世界货币
F821.0 货币政策
F821.1 货币制度
F821.5 通货膨胀
F821.6 国际货币关系
F821.9 货币史
F822 中国货币
F822.0 方针政策及其阐述
F822.1 货币制度和改革
F822.2 货币管理和流通
F822.5 通货膨胀
F822.7 地方货币
F822.9 货币史
F823/827 各国货币
F83 金融、银行
F830 金融、银行理论
F830.1 银行制度
F830.2 金融、银行体制
F830.3 金融组织、银行
F830.31 中央银行
F830.33 商业银行
[F830.34] 城乡金融组织
F830.35 私人银行
F830.39 其他金融组织
F830.4 银行业务
F830.41 业务计划和表报
F830.42 银行会计
F830.43 金库业务
F830.44 国家预算出纳
F830.45 资金管理
F830.46 划拨、结算（非现金结算）
F830.48 储蓄、存款业务
F830.49 现代化管理
F830.5 信贷
F830.51 信贷组织、计划及监督
F830.52 结算业务
F830.53 长期信贷
F830.54 短期信贷
F830.55 基本建设信贷
F830.56 工商业信贷
{F830.57} 交通运输信贷
F830.571 交通运输信贷
F830.572 房地产信贷
F830.573 科研信贷
F830.58 农业贷款
F830.589 个人信贷
F830.59 投资
F830.591 投资方针、政策
F830.592 投资制度
F830.593 投资业务管理
F830.6 城乡金融组织
F830.61 农村信用合作社
F830.62 城市合作银行
F830.7 汇兑
F830.71 汇划、划拨
F830.72 国内汇兑
F830.73 国外汇兑和国际结算
F830.8 信托
F830.9 金融市场
F830.91 证券市场
F830.92 外汇市场
F830.94 黄金市场
F830.99 金融危机
F831 世界金融、银行
F831.0 政策
F831.1 银行制度
F831.2 金融组织与业务
F831.5 金融市场
F831.59 金融危机
F831.6 国际金融关系
F831.7 国际资金流通
F831.9 金融史、银行史
F832 中国金融、银行
F832.0 方针政策及其阐述
F832.1 金融、银行体制
F832.2 银行制度与业务
F832.21 资金管理
F832.22 储蓄
F832.3 金融组织、银行
F832.31 中国人民银行
F832.33 商业银行（专业银行）
F832.35 城乡金融组织
F832.37 钱庄、银号
F832.38 典当业
F832.39 其他金融组织
F832.4 信贷
F832.41 基本建设信贷
F832.42 工商业信贷
F832.43 农业信贷
F832.44 交通运输信贷
F832.45 房地产信贷
F832.46 科技信贷
F832.479 个人信贷
F832.48 投资
F832.49 信托
F832.5 金融市场
F832.59 金融危机
F832.6 汇兑、对外金融关系
F832.61 国内汇兑
F832.63 国外汇兑、国际结算
F832.7 地方金融事业
F832.9 金融史、银行史
F833/837 各国金融、银行
F84 保险
F840 保险理论
F840.3 保险组织和管理
F840.31 保险组织
F840.32 保险管理
F840.4 保险业务
F840.6 各种类型保险
F840.61 劳动保险、社会保险
F840.62 人身保险（人寿保险）
F840.63 交通运输保险
F840.64 灾害保险
F840.65 财产保险
F840.66 农业、森林保险
F840.67 养老保险
F840.681 工商企业、工程保险
F840.682 金融信贷保险
F840.684 医疗保险
F840.685 涉外保险
F840.69 其他
F841 世界保险业
F841.0 政策
F841.3 国际保险组织
F841.9 保险业史
F842 中国保险业
F842.0 方针政策及其阐述
F842.3 保险组织
F842.4 保险业务
F842.6 各种类型保险
F842.7 地方保险业
F842.9 保险业史
F843/847 各国保险业
G 文化、科学、教育、体育
G0 文化理论
G02 文化哲学
G03 文化的民族性
G04 比较文化学
G05 文化与其他学科的关系
G07 文化地理学
[G09] 文化史
G1 世界各国文化与文化事业
G11 世界
G112 文化专题研究
G113 国际文化事业组织与活动
G114 文化产业、文化市场
G115 互助合作与文化交流
G116 会议
G117 协定
G119 文化事业史
G12 中国
G120 方针政策及其阐述
G122 文化专题研究
G123 文化事业组织与活动
G124 文化产业、文化市场
G125 对外文化交流
G127 地方文化与文化事业
G129 文化事业史
G13/17 各国
G2 信息与知识传播
G20 信息与传播理论
G201 信息理论
G202 信息处理技术
G203 信息资源及其管理
G206 传播理论
G206.2 传播媒介
G206.3 大众传播
{G209} 专门信息与传播理论
G21 新闻学、新闻事业
G210 新闻学
G210.7 新闻工作自动化、网络化
G210.9 新闻学史
G211 组织和管理
G212 新闻采访和报道
G212.1 新闻采访
G212.2 新闻写作
G213 编辑工作
G214 新闻工作者
G214.1 编辑
G214.2 记者
G214.3 通讯员
G215 报纸的出版发行
G216 各类型报纸
G216.1 中央报纸（全国性）
G216.2 地方报纸
G216.3 专业报纸
[G218] 新闻摄影
G219 世界各国新闻事业
G219.1 世界
G219.13 国际组织与活动
G219.14 通讯社、报社
G219.15 互助合作与交流
G219.16 会议
G219.17 协定
G219.19 新闻事业史
G219.2 中国
G219.20 方针政策及其阐述
G219.21 新闻事业组织
G219.22 通讯社
G219.23 中央报社
G219.24 地方报社
G219.25 专业报社
G219.26 对外新闻工作交流
G219.27 地方新闻事业
G219.29 新闻事业史
G219.3/.7 各国
G22 广播、电视事业
G220 广播、电视工作理论
G220.7 广播、电视工作自动化
G221 组织和管理
G222 编辑、写作和播送业务
G222.1 采访、编辑、写作
G222.2 播送业务
G222.3 节目制作
G223 广播、电视宣传和群众工作
G224 广播、电视工作者
G229 世界各国广播、电视事业
G229.1 世界
G229.13 国际组织与活动
G229.15 互助合作与交流
G229.16 会议
G229.17 协定
G229.19 广播、电视事业史
G229.2 中国
G229.20 方针政策及其阐述
G229.23 广播、电视事业组织
G229.24 广播电台、电视台
G229.25 对外广播、电视工作交流
G229.27 地方广播、电视事业
G229.29 广播、电视事业史
G229.3/.7 各国
G23 出版事业
G230 出版工作理论
G230.7 出版工作自动化
G231 组织和管理
G232 编辑工作
G232.1 选题、组稿
G232.2 编辑、校对
[G232.3] 装帧设计
[G234] 印刷工作
G235 发行工作
G236 书刊宣传、评介
G237 各类型出版物编辑出版
G237.4 工具书编辑出版
G237.5 期刊编辑出版
G237.6 电子出版物编辑出版
G237.9 其他
G238 出版工作者
G239 世界各国出版事业
G239.1 世界
G239.13 国际组织与活动
